"","PureNYHAClass","variable","mean","sd","sem","n"
"505","II","StepData.OverallMETClassVeryLight.Percentage",0.0744319166988966,0.0253338423744533,0.00496837525467775,26
"506","III","StepData.OverallMETClassVeryLight.Percentage",0.067124410114483,0.0210075261830003,0.00633400746568901,11
"508","II","StepData.OverallMETClassVeryLight.PercentageAll",0.0025815700697308,0.00184183323386502,0.000361213215394671,26
"509","III","StepData.OverallMETClassVeryLight.PercentageAll",0.0015973573717543,0.0013187788678526,0.000397626789646977,11
"511","II","StepData.TotalMETClassLight",115.346153846154,78.1869259186943,15.3337177295098,26
"512","III","StepData.TotalMETClassLight",91.7272727272727,146.193769298894,44.0790799502009,11
"514","II","StepData.MeanMETClassLight",7.3763056098469,5.40274936930207,1.05956632542778,26
"515","III","StepData.MeanMETClassLight",6.22666135034556,10.4752265986658,3.15839965652047,11
"517","II","StepData.StdDevMETClassLight",6.51908429956615,3.7706903013513,0.739493208704052,26
"518","III","StepData.StdDevMETClassLight",5.88119170621255,9.45684858479978,2.8513471322713,11
"520","II","StepData.ModeMETClassLight",4.34615384615385,5.41806096453193,1.06256917630706,26
"521","III","StepData.ModeMETClassLight",3.72727272727273,9.15522702166264,2.76040480921618,11
"523","II","StepData.MaxMETClassLight",23.7692307692308,13.946491149555,2.73513194298961,26
"524","III","StepData.MaxMETClassLight",18.5454545454545,27.0457524811703,8.15460119571503,11
"526","II","StepData.OverallMETClassLight.Percentage",0.147702874019969,0.070789701869637,0.0138830027382575,26
"527","III","StepData.OverallMETClassLight.Percentage",0.133278783556318,0.120508566271852,0.0363346998497647,11
"529","II","StepData.OverallMETClassLight.PercentageAll",0.00512243445128257,0.00375190928423754,0.000735809948213737,26
"530","III","StepData.OverallMETClassLight.PercentageAll",0.00432407038218442,0.00727446291574012,0.00219333309480588,11
"532","II","StepData.TotalMETClassLowModerate",137.807692307692,116.160585133089,22.7809650116913,26
"533","III","StepData.TotalMETClassLowModerate",56.0909090909091,63.5239396534166,19.1531884577783,11
"535","II","StepData.MeanMETClassLowModerate",8.93426035549447,7.78794365677694,1.52734141064103,26
"536","III","StepData.MeanMETClassLowModerate",3.63499563302195,4.12904351488392,1.24495346199275,11
"538","II","StepData.StdDevMETClassLowModerate",9.28218563841698,6.57564931949431,1.28959093056325,26
"539","III","StepData.StdDevMETClassLowModerate",4.1565058196963,3.06352772887669,0.923688364684872,11
"541","II","StepData.ModeMETClassLowModerate",2.61538461538462,5.81086515470406,1.13960441594971,26
"542","III","StepData.ModeMETClassLowModerate",1.72727272727273,4.14947970451499,1.25111520500646,11
"544","II","StepData.MaxMETClassLowModerate",30.5384615384615,20.0344318995688,3.92907535383259,26
"545","III","StepData.MaxMETClassLowModerate",13.9090909090909,9.36434242704255,2.8234554762642,11
"547","II","StepData.OverallMETClassLowModerate.Percentage",0.152260294561329,0.0935027475173471,0.0183373974679036,26
"548","III","StepData.OverallMETClassLowModerate.Percentage",0.103296735921494,0.0886074394611346,0.0267161482115195,11
"550","II","StepData.OverallMETClassLowModerate.PercentageAll",0.00620434746909339,0.0054082942060951,0.00106065375738961,26
"551","III","StepData.OverallMETClassLowModerate.PercentageAll",0.00252430252293191,0.0028673913297805,0.00086455101527274,11
"553","II","StepData.TotalMETClassModerate",2.19230769230769,4.93979133785411,0.968772785569027,26
"554","III","StepData.TotalMETClassModerate",1.18181818181818,3.91964747951093,1.18181818181818,11
"556","II","StepData.MeanMETClassModerate",0.144341623288992,0.327848480195203,0.0642963768468106,26
"557","III","StepData.MeanMETClassModerate",0.0738636363636364,0.244977967469433,0.0738636363636364,11
"559","II","StepData.StdDevMETClassModerate",0.298817694894084,0.586895430334383,0.115099663527441,26
"560","III","StepData.StdDevMETClassModerate",0.125172057892866,0.415148750267282,0.125172057892866,11
"562","II","StepData.ModeMETClassModerate",0,0,0,26
"563","III","StepData.ModeMETClassModerate",0,0,0,11
"565","II","StepData.MaxMETClassModerate",1,1.97989898732233,0.38829013735766,26
"566","III","StepData.MaxMETClassModerate",0.363636363636364,1.20604537831105,0.363636363636364,11
"568","II","StepData.OverallMETClassModerate.Percentage",0.0027754995939812,0.00616317412950807,0.00120869789046276,26
"569","III","StepData.OverallMETClassModerate.Percentage",0.00135749253149316,0.00450229338267253,0.00135749253149316,11
"571","II","StepData.OverallMETClassModerate.PercentageAll",0.000100237238395133,0.000227672555691113,4.4650261699174e-05,26
"572","III","StepData.OverallMETClassModerate.PercentageAll",5.12941919191919e-05,0.000170123588520439,5.12941919191919e-05,11
"574","II","StepData.TotalMETClassVigorous",0.153846153846154,0.784464540552736,0.153846153846154,26
"575","III","StepData.TotalMETClassVigorous",0,0,0,11
"577","II","StepData.MeanMETClassVigorous",0.0102564102564103,0.0522976360368491,0.0102564102564103,26
"578","III","StepData.MeanMETClassVigorous",0,0,0,11
"580","II","StepData.StdDevMETClassVigorous",0.0228314169117178,0.116417840355822,0.0228314169117178,26
"581","III","StepData.StdDevMETClassVigorous",0,0,0,11
"583","II","StepData.ModeMETClassVigorous",0,0,0,26
"584","III","StepData.ModeMETClassVigorous",0,0,0,11
"586","II","StepData.MaxMETClassVigorous",0.0769230769230769,0.392232270276368,0.0769230769230769,26
"587","III","StepData.MaxMETClassVigorous",0,0,0,11
"589","II","StepData.OverallMETClassVigorous.Percentage",0.000219839157892255,0.00112096415594442,0.000219839157892255,26
"590","III","StepData.OverallMETClassVigorous.Percentage",0,0,0,11
"592","II","StepData.OverallMETClassVigorous.PercentageAll",7.12250712250712e-06,3.63178028033674e-05,7.12250712250712e-06,26
"593","III","StepData.OverallMETClassVigorous.PercentageAll",0,0,0,11
"595","II","BMI",28.9999204566131,6.07549644422914,1.191502881688,26
"596","III","BMI",30.8779638357717,6.66056478059197,2.00823584264358,11
