"","NYHAClass","variable","mean","sd","sem","n"
"200","III","StepData.OverallKurtosis",54.8317379474192,54.844784119886,14.1608623681773,15
"202","II","StepData.MaximumDailyTotalSteps",10393.4571428571,4000.897710609,676.275144570955,35
"203","III","StepData.MaximumDailyTotalSteps",7650.6,4121.19276770347,1064.08739705507,15
"205","II","StepData.MeanDailyTotalSteps",5483.93983274259,2219.35678801967,375.139766431087,35
"206","III","StepData.MeanDailyTotalSteps",4012.062160917,2272.53221728533,586.765295417727,15
"208","II","StepData.ModeDailyTotalSteps",3667.91428571429,3522.80953527845,595.463493467753,35
"209","III","StepData.ModeDailyTotalSteps",2115.26666666667,2029.71952554557,524.071327994002,15
"211","II","StepData.MinimumDailyTotalSteps",1206.54285714286,1631.57106428593,275.785845374638,35
"212","III","StepData.MinimumDailyTotalSteps",1149.26666666667,1546.25840876183,399.242204404517,15
"214","II","StepData.StdDevDailyTotalSteps",2640.45748714742,1257.1532803437,212.497688745677,35
"215","III","StepData.StdDevDailyTotalSteps",1933.30982745281,1133.0866447644,292.561713665503,15
"217","II","StepData.StdErrDailyTotalSteps",664.438241343256,304.188322828735,51.4172110554873,35
"218","III","StepData.StdErrDailyTotalSteps",489.58751727519,292.352011022359,75.4849646613228,15
"220","II","StepData.MaximumDailyMaximumSteps",125.742857142857,18.1308039099255,3.06466521322438,35
"221","III","StepData.MaximumDailyMaximumSteps",112.866666666667,13.7054038699374,3.53872006275428,15
"223","II","StepData.MeanDailyMaximumSteps",95.5698497652924,17.3165017365647,2.92702302393428,35
"224","III","StepData.MeanDailyMaximumSteps",80.5491965616656,20.9328329623629,5.40483423014487,15
"226","II","StepData.ModeDailyMaximumSteps",95.1142857142857,37.6842699502149,6.36980421695243,35
"227","III","StepData.ModeDailyMaximumSteps",68.4,43.4425729309066,11.2168240985202,15
"229","II","StepData.MinimumDailyMaximumSteps",42.4857142857143,35.2039197588359,5.95054851346029,35
"230","III","StepData.MinimumDailyMaximumSteps",34.6666666666667,32.0906454252563,8.285769020071,15
"232","II","StepData.StdDevDailyMaximumSteps",24.5863238738356,12.5715077234355,2.12497264816279,35
"233","III","StepData.StdDevDailyMaximumSteps",23.4963273036102,11.111742326432,2.86903953184129,15
"235","II","StepData.StdErrDailyMaximumSteps",6.07809384119164,2.9262627811002,0.494628687980108,35
"236","III","StepData.StdErrDailyMaximumSteps",5.83880164512061,2.61420004609359,0.674983549478342,15
"238","II","StepData.MaximumDailyQ3Steps",2.38571428571429,5.53874815210414,0.936219313324104,35
"239","III","StepData.MaximumDailyQ3Steps",1.86666666666667,3.41983012666391,0.882996341828515,15
"241","II","StepData.MeanDailyQ3Steps",0.380204081632653,0.885957989466674,0.149754232861696,35
"242","III","StepData.MeanDailyQ3Steps",0.250420168067227,0.641147913313374,0.165543679381222,15
"244","II","StepData.ModeDailyQ3Steps",0,0,0,35
"245","III","StepData.ModeDailyQ3Steps",0,0,0,15
"247","II","StepData.MinimumDailyQ3Steps",0,0,0,35
"248","III","StepData.MinimumDailyQ3Steps",0,0,0,15
"250","II","StepData.StdDevDailyQ3Steps",0.712471934906903,1.48165273751133,0.250445023027571,35
"251","III","StepData.StdDevDailyQ3Steps",0.589576990419688,1.17523264425092,0.303443763940209,15
"253","II","StepData.StdErrDailyQ3Steps",0.1775155876774,0.356432141417011,0.0602480281681166,35
"254","III","StepData.StdErrDailyQ3Steps",0.150923262766505,0.293612557010189,0.0758104362358557,15
"256","II","StepData.MaximumDailyMeanSteps",7.21767857142857,2.77840118792291,0.469635517063163,35
"257","III","StepData.MaximumDailyMeanSteps",5.31291666666666,2.86193942201629,0.738949581288239,15
"259","II","StepData.MeanDailyMeanSteps",3.80829155051569,1.54121999168032,0.260513726688255,35
"260","III","StepData.MeanDailyMeanSteps",2.78615427841458,1.57814737311481,0.407475899595644,15
"262","II","StepData.ModeDailyMeanSteps",2.5471626984127,2.44639551061003,0.413516314908162,35
"263","III","StepData.ModeDailyMeanSteps",1.46893518518518,1.40952744829554,0.363938422218057,15
"265","II","StepData.MinimumDailyMeanSteps",0.837876984126984,1.13303546130967,0.191517948176832,35
"266","III","StepData.MinimumDailyMeanSteps",0.798101851851852,1.07379056164016,0.27725153083647,15
"268","II","StepData.StdDevDailyMeanSteps",1.83365103274126,0.873023111349791,0.147567839406721,35
"269","III","StepData.StdDevDailyMeanSteps",1.34257626906445,0.786865725530832,0.203167856712155,15
"271","II","StepData.StdErrDailyMeanSteps",0.461415445377261,0.211241890853288,0.0357063965663107,35
"272","III","StepData.StdErrDailyMeanSteps",0.339991331441104,0.203022229876638,0.0524201143481408,15
"274","II","StepData.MaximumDailyStdDevSteps",19.7179183459162,4.58542282244917,0.775077921624432,35
"275","III","StepData.MaximumDailyStdDevSteps",15.0942196901792,4.32053630246838,1.11555767640964,15
