"","ExplicitNYHAClass","variable","mean","sd","sem","n"
"77","II","SBP.Resting",112.192307692308,14.6205861189468,2.86733284310282,26
"78","II/III","SBP.Resting",107.75,10.9962114688045,5.49810573440223,4
"79","III","SBP.Resting",101.818181818182,17.0869434470778,5.15190729345265,11
"81","I/II","DBP.Resting",68,7.63216876123687,2.54405625374562,9
"82","II","DBP.Resting",69.2692307692308,8.34533494741915,1.63665483632146,26
"83","II/III","DBP.Resting",68.75,9.5,4.75,4
"84","III","DBP.Resting",64.6363636363636,11.4041459765537,3.43847938715179,11
"86","I/II","HR.Resting",65.6666666666667,11.5325625946708,3.84418753155693,9
"87","II","HR.Resting",67,12.3353151560874,2.41915433412333,26
"88","II/III","HR.Resting",63,8.86942313043338,4.43471156521669,4
"89","III","HR.Resting",69.3636363636364,13.0940652760915,3.94800922738336,11
"91","I/II","O2Sat.Resting",98.875,1.1259916264596,0.398098157314428,8
"92","II","O2Sat.Resting",98.48,1.0847426730182,0.21694853460364,25
"93","II/III","O2Sat.Resting",98.75,0.5,0.25,4
"94","III","O2Sat.Resting",98.0909090909091,1.57826141399614,0.475863721029178,11
"96","I/II","FEV.Resting",2.86,0.841597121124897,0.297549515687245,8
"97","II","FEV.Resting",2.526,0.771864625436352,0.15437292508727,25
"98","II/III","FEV.Resting",3.385,0.344528663539044,0.172264331769522,4
"99","III","FEV.Resting",2.58363636363636,0.877453961496245,0.264562323735818,11
"101","I/II","FEV.Resting.Percentage",81.125,19.708138275487,6.96787910957949,8
"102","II","FEV.Resting.Percentage",70.08,23.2538885637076,4.65077771274153,25
"103","II/III","FEV.Resting.Percentage",88.75,3.5939764421413,1.79698822107065,4
"104","III","FEV.Resting.Percentage",74.2727272727273,16.395675704837,4.94348222702637,11
"106","I/II","FVC.Resting",3.59375,1.19973732244068,0.4241711981702,8
"107","II","FVC.Resting",3.2812,0.945124859476249,0.18902497189525,25
"108","II/III","FVC.Resting",4.2425,0.371786228900426,0.185893114450213,4
"109","III","FVC.Resting",3.35818181818182,0.953433984938844,0.287471162765046,11
"111","I/II","FVC.Resting.Percentage",79.125,18.403706924732,6.50669298272391,8
"112","II","FVC.Resting.Percentage",72.8,17.0904456739236,3.41808913478472,25
"113","II/III","FVC.Resting.Percentage",86.25,5.79511288357124,2.89755644178562,4
"114","III","FVC.Resting.Percentage",73.3636363636364,12.6828445332483,3.82402150829042,11
"116","I/II","SBP",131.444444444444,18.6622018469895,6.2207339489965,9
"117","II","SBP",134.115384615385,18.5565663269408,3.639242069475,26
"118","II/III","SBP",134.75,29.8370574956714,14.9185287478357,4
"119","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,11
"121","I/II","DBP",72.6666666666667,7.93725393319377,2.64575131106459,9
"122","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,26
"123","II/III","DBP",74.5,11.7046999107196,5.85234995535981,4
"124","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,11
"126","I/II","HR",111.375,14.6768768573465,5.18905957623482,8
"127","II","HR",109.692307692308,18.2049866372249,3.57029161953484,26
"128","II/III","HR",95.75,29.9596951475367,14.9798475737683,4
"129","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,11
"131","I/II","HR.1min",93.5,12.7615493909299,4.51188905638679,8
"132","II","HR.1min",90.28,14.6529860438069,2.93059720876138,25
"133","II/III","HR.1min",81.5,21.6410104508392,10.8205052254196,4
"134","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,11
"136","I/II","HR.1minDrop",17.875,9.18753036924038,3.24828251322361,8
"137","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,25
"138","II/III","HR.1minDrop",10,7.54983443527075,4.35889894354067,3
"139","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,11
"141","I/II","O2Sat",98.75,1.38873014965883,0.490990253030983,8
"142","II","O2Sat",98.12,1.39403491108843,0.278806982217686,25
"143","II/III","O2Sat",98.5,0.577350269189626,0.288675134594813,4
"144","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,11
"146","I/II","Duration",10.4574074074074,3.66480171427299,1.22160057142433,9
"147","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,26
"148","II/III","Duration",9.20000000000001,5.61471281545193,2.80735640772597,4
"149","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,11
"151","I/II","Watts",101.111111111111,38.2244831372657,12.7414943790886,9
"152","II","Watts",94.4,29.022979401387,5.8045958802774,25
"153","II/III","Watts",87.5,55.6027577253743,27.8013788626871,4
"154","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,11
"156","I/II","Watts.Predicted.Percentage",72.6666666666667,24.1867732448956,8.06225774829855,9
"157","II","Watts.Predicted.Percentage",59.92,20.2852984531491,4.05705969062982,25
"158","II/III","Watts.Predicted.Percentage",50.25,22.5591814272297,11.2795907136149,4
"159","III","Watts.Predicted.Percentage",47.1818181818182,11.7372755085512,3.53892172026293,11
"161","I/II","TestEnd.Reason",NA,NA,NA,0
"162","II","TestEnd.Reason",NA,NA,NA,0
"163","II/III","TestEnd.Reason",NA,NA,NA,0
"164","III","TestEnd.Reason",NA,NA,NA,0
"166","I/II","TestEnd.Symptom",NA,NA,NA,0
"167","II","TestEnd.Symptom",NA,NA,NA,0
"168","II/III","TestEnd.Symptom",NA,NA,NA,0
"169","III","TestEnd.Symptom",NA,NA,NA,0
"171","I/II","VO2.perBodyWeight",16.4666666666667,4.09511904588865,1.36503968196288,9
"172","II","VO2.perBodyWeight",14.3807692307692,3.28670281355272,0.644575453141756,26
"173","II/III","VO2.perBodyWeight",14.375,5.12209267129494,2.56104633564747,4
"174","III","VO2.perBodyWeight",12.3363636363636,2.98907100192442,0.901238816828635,11
"176","I/II","VO2.Predicted.Relative",30.2,5.64623768539724,1.88207922846575,9
"177","II","VO2.Predicted.Relative",29.2307692307692,5.63969993746258,1.10603615507422,26
"178","II/III","VO2.Predicted.Relative",31.175,3.97607427831356,1.98803713915678,4
"179","III","VO2.Predicted.Relative",28.8909090909091,5.59847381800693,1.68800336845068,11
"181","I/II","VO2.Predicted.Relative.Percentage",54,17.3637553541853,5.78791845139511,9
"182","II","VO2.Predicted.Relative.Percentage",50.5,13.2249763704893,2.59363125307417,26
"183","II/III","VO2.Predicted.Relative.Percentage",46.25,14.4077525427574,7.20387627137872,4
"184","III","VO2.Predicted.Relative.Percentage",42.9090909090909,8.11732154660077,2.44746453388565,11
"186","I/II","VO2",1.30111111111111,0.521438501753669,0.17381283391789,9
"187","II","VO2",1.26411538461538,0.409159756273569,0.0802428300544537,26
"188","II/III","VO2",1.30475,0.676553212984758,0.338276606492379,4
"189","III","VO2",1.14590909090909,0.375833062554495,0.113317932027585,11
"191","I/II","VO2.Predicted.Absolute",2.39488888888889,0.981021208288134,0.327007069429378,9
"192","II","VO2.Predicted.Absolute",2.32880769230769,0.556932456890835,0.109223440978444,26
"193","II/III","VO2.Predicted.Absolute",2.395,0.578406431499512,0.289203215749756,4
"194","III","VO2.Predicted.Absolute",2.32881818181818,0.61441546500423,0.185253232982797,11
"196","I/II","VO2.Predicted.Absolute.Percentage",63.1643592474263,18.2362555650477,6.0787518550159,9
"197","II","VO2.Predicted.Absolute.Percentage",55.8076923076923,16.6901629249549,3.27321024766876,26
"198","II/III","VO2.Predicted.Absolute.Percentage",53.25,18.5539753152795,9.27698765763974,4
"199","III","VO2.Predicted.Absolute.Percentage",49.4545454545455,8.91474774027439,2.68789757774171,11
"201","I/II","VE.Peak",48.675,20.0068381167183,7.07348545121649,8
"202","II","VE.Peak",45.4864,13.1992092187373,2.63984184374746,25
"203","II/III","VE.Peak",47.1,14.0173701765583,7.00868508827916,4
"204","III","VE.Peak",42.4545454545455,13.6789154275011,4.12434818291137,11
"206","I/II","VCO2.Peak",1.543,0.62671957730027,0.221578831505694,8
"207","II","VCO2.Peak",1.40638461538462,0.465413972882042,0.0912751896009337,26
"208","II/III","VCO2.Peak",1.39,0.824359549387685,0.412179774693842,4
"209","III","VCO2.Peak",1.14718181818182,0.40602729420122,0.122421835409881,11
"211","I/II","VEperVCO2.Peak",31.875,4.35685010726131,1.5403791277289,8
"212","II","VEperVCO2.Peak",33.3846153846154,6.4997041352783,1.27469685455245,26
"213","II/III","VEperVCO2.Peak",38.75,15.0194318578744,7.50971592893722,4
"214","III","VEperVCO2.Peak",37.5454545454545,6.05580112559249,1.82589273987293,11
"216","I/II","VEperVCO2.atAT",31.7142857142857,3.86066858261129,1.45919556628996,7
"217","II","VEperVCO2.atAT",32.9615384615385,4.7284734892417,0.927329945813445,26
"218","II/III","VEperVCO2.atAT",34.25,9.42956343987709,4.71478171993855,4
"219","III","VEperVCO2.atAT",38.7272727272727,5.83251076451487,1.75856816287316,11
"221","I/II","AT",11.2166666666667,2.60032049306747,1.06157639595295,6
"222","II","AT",9.58076923076923,2.52254145349792,0.494711080585869,26
"223","II/III","AT",9.15,2.39791576165636,1.19895788082818,4
"224","III","AT",8.1,1.38162545173751,0.436908330074958,10
"226","I/II","VO2.Peak.Measured.Percentage",61.3333333333333,6.88960569747403,2.81266974796387,6
"227","II","VO2.Peak.Measured.Percentage",66.1538461538462,7.01821805128514,1.37638579977508,26
"228","II/III","VO2.Peak.Measured.Percentage",65,6.68331255192114,3.34165627596057,4
"229","III","VO2.Peak.Measured.Percentage",64.4,6.83455273672763,2.16127534365964,10
"231","I/II","VO2.Peak.Predicted.Percentage",37.6666666666667,7.06163342766153,2.88289977472529,6
"232","II","VO2.Peak.Predicted.Percentage",33.6153846153846,9.78192996530612,1.91839429898823,26
"233","II/III","VO2.Peak.Predicted.Percentage",29.25,6.84957419601151,3.42478709800575,4
"234","III","VO2.Peak.Predicted.Percentage",28,4.76095228569523,1.50554530541816,10
"236","I/II","RER.Peak",1.1325,0.11132321026119,0.0393586984395717,8
"237","II","RER.Peak",1.11615384615385,0.0823687767580373,0.0161538461538462,26
"238","II/III","RER.Peak",1.05,0.128322510366134,0.0641612551830672,4
"239","III","RER.Peak",1.00290909090909,0.0826141084143072,0.0249090909090909,11
"241","I/II","RPEper20.Peak",18,NA,NA,1
"242","II","RPEper20.Peak",16.3333333333333,0.816496580927726,0.333333333333333,6
"243","II/III","RPEper20.Peak",17,NA,NA,1
"244","III","RPEper20.Peak",16,NA,NA,1
"246","I/II","PETCO2.Peak",NA,NA,NA,0
"247","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"248","II/III","PETCO2.Peak",NA,NA,NA,0
"249","III","PETCO2.Peak",30,1.4142135623731,1,2
"251","I/II","OUES",NA,NA,NA,0
"252","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"253","II/III","OUES",NA,NA,NA,0
"254","III","OUES",1.209,0.231931024229188,0.164,2
"256","I/II","TotalRiskScore",NA,NA,NA,0
"257","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"258","II/III","TotalRiskScore",NA,NA,NA,0
"259","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"261","I/II","StepData.LongestActiveStreak",43,24.0728062344214,8.02426874480715,9
"262","II","StepData.LongestActiveStreak",46.7692307692308,32.4657452615001,6.36705648506621,26
"263","II/III","StepData.LongestActiveStreak",25,9.83192080250175,4.91596040125088,4
"264","III","StepData.LongestActiveStreak",37.1818181818182,32.5785763403442,9.8228103568065,11
"266","I/II","StepData.HighestValuedStreak",3035.22222222222,2108.92862478663,702.976208262211,9
"267","II","StepData.HighestValuedStreak",3244.61538461538,2296.16276560566,450.314567238787,26
"268","II/III","StepData.HighestValuedStreak",1044.25,260.078673994364,130.039336997182,4
"269","III","StepData.HighestValuedStreak",2098,2278.41910104353,686.969206667294,11
"271","I/II","StepData.MeanDailyTotalSteps",5542.06171331106,2328.36574884732,776.12191628244,9
"272","II","StepData.MeanDailyTotalSteps",5463.82072023812,2227.62017121275,436.872258534104,26
"273","II/III","StepData.MeanDailyTotalSteps",4499.32050945378,2428.09561721659,1214.04780860829,4
"274","III","StepData.MeanDailyTotalSteps",3834.87730690362,2309.10524946511,696.221428537799,11
"276","I/II","StepData.StdDevDailyTotalSteps",2019.01822993444,909.824624705466,303.274874901822,9
"277","II","StepData.StdDevDailyTotalSteps",2855.57107618268,1302.82340772942,255.504691491453,26
"278","II/III","StepData.StdDevDailyTotalSteps",2451.90113101154,1210.0170086117,605.008504305849,4
"279","III","StepData.StdDevDailyTotalSteps",1744.73117161327,1100.68354107307,331.868574423557,11
"281","I/II","StepData.MeanDailyMeanSteps",3.84865396757712,1.61692065892175,0.538973552973917,9
"282","II","StepData.MeanDailyMeanSteps",3.79431994460981,1.54695845223107,0.303383512870905,26
"283","II/III","StepData.MeanDailyMeanSteps",3.12452813156512,1.68617751195596,0.843088755977982,4
"284","III","StepData.MeanDailyMeanSteps",2.66310924090529,1.60354531212855,0.48348710315125,11
"286","I/II","StepData.StdDevDailyMeanSteps",1.40209599301003,0.631822656045464,0.210607552015154,9
"287","II","StepData.StdDevDailyMeanSteps",1.9830354695713,0.904738477589877,0.177433813535731,26
"288","II/III","StepData.StdDevDailyMeanSteps",1.70270911875801,0.840289589313682,0.420144794656841,4
"289","III","StepData.StdDevDailyMeanSteps",1.21161886917589,0.764363570189637,0.230464287794137,11
"291","I/II","StepData.ModeDailyModeSteps",0,0,0,9
"292","II","StepData.ModeDailyModeSteps",0,0,0,26
"293","II/III","StepData.ModeDailyModeSteps",0,0,0,4
"294","III","StepData.ModeDailyModeSteps",0,0,0,11
"296","I/II","StepData.MeanDailyMinSteps",0,0,0,9
"297","II","StepData.MeanDailyMinSteps",0,0,0,26
"298","II/III","StepData.MeanDailyMinSteps",0,0,0,4
"299","III","StepData.MeanDailyMinSteps",0,0,0,11
"301","I/II","StepData.MeanDailyMaxSteps",96.9362364243944,16.4302671246644,5.47675570822148,9
"302","II","StepData.MeanDailyMaxSteps",95.096869767911,17.9031091204797,3.51108856766564,26
"303","II/III","StepData.MeanDailyMaxSteps",80.264705882353,16.2637931951166,8.1318965975583,4
"304","III","StepData.MeanDailyMaxSteps",80.6526477177793,23.1097264609446,6.96784469806374,11
"306","I/II","StepData.ModeDailyMinSteps",0,0,0,9
"307","II","StepData.ModeDailyMinSteps",0,0,0,26
"308","II/III","StepData.ModeDailyMinSteps",0,0,0,4
"309","III","StepData.ModeDailyMinSteps",0,0,0,11
"311","I/II","StepData.ModeDailyMaxSteps",101.666666666667,21.5812418549072,7.19374728496908,9
"312","II","StepData.ModeDailyMaxSteps",92.8461538461538,41.9701725587992,8.23102803331438,26
"313","II/III","StepData.ModeDailyMaxSteps",77.75,52.0024037905941,26.0012018952971,4
"314","III","StepData.ModeDailyMaxSteps",65,42.2279528274815,12.7322068357803,11
"316","I/II","StepData.MaxDailyMaxSteps",126.333333333333,18.6480561989715,6.21601873299051,9
"317","II","StepData.MaxDailyMaxSteps",125.538461538462,18.3198925089221,3.59282651499678,26
"318","II/III","StepData.MaxDailyMaxSteps",112.75,9.21502396451939,4.6075119822597,4
"319","III","StepData.MaxDailyMaxSteps",112.909090909091,15.4107400565615,4.64651295539226,11
"321","I/II","StepData.StdDevDailyMaxSteps",19.9085316872609,9.29661988566074,3.09887329522025,9
"322","II","StepData.StdDevDailyMaxSteps",26.2055596307268,13.2920014980026,2.60677596203923,26
"323","II/III","StepData.StdDevDailyMaxSteps",29.1322965528774,11.6804150679034,5.84020753395168,4
"324","III","StepData.StdDevDailyMaxSteps",21.4468839402402,10.7053078438678,3.22777176212345,11
"326","I/II","StepData.TotalActiveMinutes_Pure",2932.33333333333,752.04537762026,250.681792540087,9
"327","II","StepData.TotalActiveMinutes_Pure",2985.07692307692,944.257715799111,185.184173796931,26
"328","II/III","StepData.TotalActiveMinutes_Pure",2797,1533.54773863309,766.773869316545,4
"329","III","StepData.TotalActiveMinutes_Pure",2308.72727272727,955.053201754655,287.959375004344,11
"331","I/II","StepData.MeanActiveMinutes_Pure",196.702130325815,59.0102165450061,19.6700721816687,9
"332","II","StepData.MeanActiveMinutes_Pure",191.926396054289,70.3067451420921,13.7882871314124,26
"333","II/III","StepData.MeanActiveMinutes_Pure",180.895089285714,85.9374934678414,42.9687467339207,4
"334","III","StepData.MeanActiveMinutes_Pure",149.856997607655,70.6213868727047,21.2931493119356,11
"336","I/II","StepData.StdDevActiveMinutes_Pure",56.100579633271,29.5798306803747,9.85994356012491,9
"337","II","StepData.StdDevActiveMinutes_Pure",81.233169268175,34.5233240279213,6.77058088047912,26
"338","II/III","StepData.StdDevActiveMinutes_Pure",93.0330406372115,46.8801686019952,23.4400843009976,4
"339","III","StepData.StdDevActiveMinutes_Pure",56.4961836670423,24.3152123195544,7.33131236016264,11
"341","I/II","StepData.ModeActiveMinutes_Pure",198.444444444444,96.5545326630385,32.1848442210128,9
"342","II","StepData.ModeActiveMinutes_Pure",149.192307692308,127.631976943325,25.0306900381708,26
"343","II/III","StepData.ModeActiveMinutes_Pure",125.5,150.858653491715,75.4293267458575,4
"344","III","StepData.ModeActiveMinutes_Pure",115.909090909091,107.632202008,32.4523299472975,11
"346","I/II","StepData.MaxActiveMinutes_Pure",284.444444444444,77.6693490237801,25.8897830079267,9
"347","II","StepData.MaxActiveMinutes_Pure",313.730769230769,93.7731550892078,18.390428755809,26
"348","II/III","StepData.MaxActiveMinutes_Pure",329.5,137.25523669427,68.6276183471349,4
"349","III","StepData.MaxActiveMinutes_Pure",246.272727272727,93.887263150111,28.3080749511163,11
"351","I/II","StepData.TotalActiveMinutes_PosMET",826.888888888889,586.35557566302,195.45185855434,9
"352","II","StepData.TotalActiveMinutes_PosMET",753.153846153846,501.028437700512,98.2597607961468,26
"353","II/III","StepData.TotalActiveMinutes_PosMET",477.5,343.8512275195,171.92561375975,4
"354","III","StepData.TotalActiveMinutes_PosMET",448.545454545455,339.019280760361,102.218159179843,11
"356","I/II","StepData.MeanActiveMinutes_PosMET",56.9494708994709,42.8297703772752,14.2765901257584,9
"357","II","StepData.MeanActiveMinutes_PosMET",48.1216058719462,34.2608938683476,6.71911409183984,26
"358","II/III","StepData.MeanActiveMinutes_PosMET",30.8371848739496,20.4412800729178,10.2206400364589,4
"359","III","StepData.MeanActiveMinutes_PosMET",28.9674109516215,22.2384361523085,6.70514078558929,11
"361","I/II","StepData.StdDevActiveMinutes_PosMET",24.2728837107997,13.8774262511667,4.62580875038891,9
"362","II","StepData.StdDevActiveMinutes_PosMET",30.0894300030477,17.2338366133975,3.37983343022245,26
"363","II/III","StepData.StdDevActiveMinutes_PosMET",19.3313189903979,8.79402314235311,4.39701157117655,4
"364","III","StepData.StdDevActiveMinutes_PosMET",17.3064827151522,13.6358260765337,4.1113562547642,11
"366","I/II","StepData.ModeActiveMinutes_PosMET",42.1111111111111,40.2164283733788,13.4054761244596,9
"367","II","StepData.ModeActiveMinutes_PosMET",34.1923076923077,45.7261581423756,8.9676374096001,26
"368","II/III","StepData.ModeActiveMinutes_PosMET",4.75,9.5,4.75,4
"369","III","StepData.ModeActiveMinutes_PosMET",25.7272727272727,20.4992239320951,6.18074857056667,11
"371","I/II","StepData.MaxActiveMinutes_PosMET",104,65.2839949757979,21.7613316585993,9
"372","II","StepData.MaxActiveMinutes_PosMET",109.5,62.2184859989376,12.2020490082609,26
"373","II/III","StepData.MaxActiveMinutes_PosMET",72.75,33.5695794830181,16.784789741509,4
"374","III","StepData.MaxActiveMinutes_PosMET",64.9090909090909,50.7157856006481,15.291384707769,11
"376","I/II","StepData.TotalMETClass.BelowMin",21093.1111111111,2768.12804275942,922.709347586474,9
"377","II","StepData.TotalMETClass.BelowMin",22729.9230769231,5142.95975425106,1008.61739017494,26
"378","II/III","StepData.TotalMETClass.BelowMin",21482.5,2026.93701595947,1013.46850797973,4
"379","III","StepData.TotalMETClass.BelowMin",22591.4545454545,3184.95809591386,960.300997922823,11
"381","I/II","StepData.MeanMETClass.BelowMin",1383.05052910053,42.8297703772738,14.2765901257579,9
"382","II","StepData.MeanMETClass.BelowMin",1391.87839412805,34.2608938683477,6.71911409183985,26
"383","II/III","StepData.MeanMETClass.BelowMin",1409.16281512605,20.4412800729186,10.2206400364593,4
"384","III","StepData.MeanMETClass.BelowMin",1411.03258904838,22.2384361523095,6.70514078558957,11
"386","I/II","StepData.StdDevMETClass.BelowMin",24.2728837107997,13.8774262511667,4.62580875038891,9
"387","II","StepData.StdDevMETClass.BelowMin",30.0894300030477,17.2338366133975,3.37983343022245,26
"388","II/III","StepData.StdDevMETClass.BelowMin",19.3313189903979,8.79402314235311,4.39701157117655,4
"389","III","StepData.StdDevMETClass.BelowMin",17.3064827151522,13.6358260765337,4.1113562547642,11
"391","I/II","StepData.ModeMETClass.BelowMin",1397.88888888889,40.2164283733788,13.4054761244596,9
"392","II","StepData.ModeMETClass.BelowMin",1405.80769230769,45.7261581423756,8.9676374096001,26
"393","II/III","StepData.ModeMETClass.BelowMin",1435.25,9.5,4.75,4
"394","III","StepData.ModeMETClass.BelowMin",1414.27272727273,20.4992239320951,6.18074857056667,11
"396","I/II","StepData.MaxMETClass.BelowMin",1421.33333333333,23.6220236220354,7.87400787401181,9
"397","II","StepData.MaxMETClass.BelowMin",1434.65384615385,11.5410304832534,2.26338229388763,26
"398","II/III","StepData.MaxMETClass.BelowMin",1435.25,9.5,4.75,4
"399","III","StepData.MaxMETClass.BelowMin",1435,7.77174369109018,2.34326889001435,11
"401","I/II","StepData.OverallMETClass.BelowMin.PercentageAll",0.960451756319812,0.02974289609533,0.00991429869844334,9
"402","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.966582218144482,0.0237922874085746,0.00466605145266654,26
"403","II/III","StepData.OverallMETClass.BelowMin.PercentageAll",0.978585288281979,0.0141953333839707,0.00709766669198536,4
"404","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979883742394707,0.0154433584391031,0.00465634776777032,11
"406","I/II","StepData.TotalMETClassIV",592.222222222222,429.724265598819,143.241421866273,9
"407","II","StepData.TotalMETClassIV",497.653846153846,421.953736071403,82.7519359254409,26
"408","II/III","StepData.TotalMETClassIV",388.75,304.41460214648,152.20730107324,4
"409","III","StepData.TotalMETClassIV",299.545454545455,233.614795608653,70.4375111372244,11
"411","I/II","StepData.MeanMETClassIV",40.7827067669173,31.2466005533219,10.415533517774,9
"412","II","StepData.MeanMETClassIV",31.6564418730594,28.1219713553593,5.51517233467979,26
"413","II/III","StepData.MeanMETClassIV",25.0027573529412,18.0980667864935,9.04903339324675,4
"414","III","StepData.MeanMETClassIV",19.0318903318903,13.9456636925329,4.2047758109649,11
"416","I/II","StepData.StdDevMETClassIV",18.085852432354,15.118294119061,5.03943137302032,9
"417","II","StepData.StdDevMETClassIV",19.1280356304566,14.8546676293842,2.91324000423711,26
"418","II/III","StepData.StdDevMETClassIV",14.6895356425288,8.53855891385449,4.26927945692724,4
"419","III","StepData.StdDevMETClassIV",10.6743911606325,6.64619989514307,2.00390466671718,11
"421","I/II","StepData.ModeMETClassIV",33.7777777777778,31.1198400452902,10.3732800150967,9
"422","II","StepData.ModeMETClassIV",27.2692307692308,34.2199447016592,6.71108329953179,26
"423","II/III","StepData.ModeMETClassIV",4.25,8.5,4.25,4
"424","III","StepData.ModeMETClassIV",13.7272727272727,16.1436731203956,4.86750058895436,11
"426","I/II","StepData.MaxMETClassIV",76,59.0190647164118,19.6730215721373,9
"427","II","StepData.MaxMETClassIV",69.9615384615385,54.0033189863221,10.590922204232,26
"428","II/III","StepData.MaxMETClassIV",56.75,33.6885242577746,16.8442621288873,4
"429","III","StepData.MaxMETClassIV",40.5454545454545,25.3746473329725,7.6507440355511,11
"431","I/II","StepData.OverallMETClassIV.Percentage",0.766067605004285,0.108897027687013,0.0362990092290045,9
"432","II","StepData.OverallMETClassIV.Percentage",0.697041492666828,0.126574511440117,0.0248233039906396,26
"433","II/III","StepData.OverallMETClassIV.Percentage",0.821775105151928,0.0445418871064999,0.02227094355325,4
"434","III","StepData.OverallMETClassIV.Percentage",0.762066987990695,0.173873416438647,0.0524248075767459,11
"436","I/II","StepData.OverallMETClassIV.PercentageAll",0.0283213241436926,0.0216990281620291,0.00723300938734302,9
"437","II","StepData.OverallMETClassIV.PercentageAll",0.0219836401896246,0.0195291467745551,0.00382998078797209,26
