"","variable","mean","sd","sem","n","NYHAClass.r","PureNYHAClass.r","ExplicitNYHAClass.r","NYHAClass.r2","PureNYHAClass.r2","ExplicitNYHAClass.r2","NYHAClass.p","PureNYHAClass.p","ExplicitNYHAClass.p"
"32","SBP",129.88,20.5194183789952,2.90188397635827,50,-0.266847943199428,-0.392303587024174,-0.274286623457408,0.0712078247897652,0.153902104392033,0.0752331518076659,0.061026722009403,0.0163260308463289,0.05390599002626
"33","SBP.Resting",108.42,14.8696238784212,2.10288237562501,50,-0.22325557020803,-0.302425749415279,-0.167988031189488,0.0498430496289125,0.0914613339093929,0.0282199786229204,0.119121929220853,0.0688638639638395,0.243565960308443
"34","Sex",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","StepData.HighestValuedStreak",2778.64,2226.33114283366,314.850769652895,50,-0.285641515000743,-0.228944116677589,-0.217161248327672,0.0815910750919195,0.0524154085612813,0.047159007775233,0.044345155334625,0.172883143858173,0.129806413106574
"36","StepData.LongestActiveStreak",42.24,29.9315954830889,4.23296682756495,50,-0.18352510683081,-0.137327762263187,-0.124761235512183,0.0336814648372602,0.0188589142882145,0.0155653658865263,0.202039164489138,0.417645885469755,0.387993525831196
"37","StepData.MaxActiveMinutes_PosMET",95.76,60.2855653349548,8.52566641120224,50,-0.315481657075639,-0.333883891210245,-0.279759230905737,0.0995286759511913,0.111478452809695,0.0782652272769693,0.025634734175406,0.0434248767975771,0.0491086667594178
"38","StepData.MaxActiveMinutes_Pure",294.88,96.2313623619702,13.6091697777938,50,-0.181511918640484,-0.32016123996794,-0.173608202848862,0.0329465766085495,0.102503219577809,0.0301398080964115,0.207117953734952,0.0533824179997691,0.227922602467074
"39","StepData.MaxDailyMaxSteps",121.88,17.8126760642928,2.51909280722814,50,-0.334622263053834,-0.320556466916452,-0.307001261770273,0.111972058931269,0.102756448481958,0.0942497747285399,0.0175389625969977,0.053072139723124,0.0301139692515133
"40","StepData.MaxMETClass.BelowMin",1432.38,14.2926982928276,2.02129277686235,50,0.124307728445269,0.0153422617565347,0.23538074673676,0.0154524113512227,0.000235384995806027,0.0554040959343546,0.389734349596057,0.928187541326742,0.0998653167717802
"41","StepData.MaxMETClassI",0.04,0.282842712474619,0.04,50,-0.0935219529582825,-0.108407272597999,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"42","StepData.MaxMETClassII",0.86,2.1571901603139,0.305072758133371,50,-0.181890026589402,-0.164500221442755,-0.181548533566758,0.0330839817726933,0.0270603228547154,0.0329598700402401,0.206157301481527,0.330592397081798,0.207024789517517
