"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"208","II","StepData.MeanDailyTotalSteps",5483.93983274259,2219.35678801967,375.139766431087,5728.875,3923.38947368421,7175.55357142857,35
"209","III","StepData.MeanDailyTotalSteps",4012.062160917,2272.53221728533,586.765295417727,3540.73333333333,2387.80208333333,5734.82142857143,15
"211","II","StepData.ModeDailyTotalSteps",3667.91428571429,3522.80953527845,595.463493467753,2338,1095.5,5934.5,35
"212","III","StepData.ModeDailyTotalSteps",2115.26666666667,2029.71952554557,524.071327994002,2307,26,3270,15
"214","II","StepData.MinimumDailyTotalSteps",1206.54285714286,1631.57106428593,275.785845374638,420,0,2069,35
"215","III","StepData.MinimumDailyTotalSteps",1149.26666666667,1546.25840876183,399.242204404517,164,0,2307,15
"217","II","StepData.StdDevDailyTotalSteps",2640.45748714742,1257.1532803437,212.497688745677,2569.68887140707,1700.72261821585,3208.19878803539,35
"218","III","StepData.StdDevDailyTotalSteps",1933.30982745281,1133.0866447644,292.561713665503,1512.87242376488,1278.73874579002,2176.82465092773,15
"220","II","StepData.StdErrDailyTotalSteps",664.438241343256,304.188322828735,51.4172110554873,650.218675026501,433.638310355472,808.412295482216,35
"221","III","StepData.StdErrDailyTotalSteps",489.58751727519,292.352011022359,75.4849646613228,401.727453433426,324.833282735945,581.780859632523,15
"223","II","StepData.MaximumDailyMaximumSteps",125.742857142857,18.1308039099255,3.06466521322438,123,114.5,132,35
"224","III","StepData.MaximumDailyMaximumSteps",112.866666666667,13.7054038699374,3.53872006275428,111,105,118,15
"226","II","StepData.MeanDailyMaximumSteps",95.5698497652924,17.3165017365647,2.92702302393428,96.0666666666667,86.5595238095238,105.482142857143,35
"227","III","StepData.MeanDailyMaximumSteps",80.5491965616656,20.9328329623629,5.40483423014487,88.0714285714286,71.8839285714286,92.6544117647059,15
"229","II","StepData.ModeDailyMaximumSteps",95.1142857142857,37.6842699502149,6.36980421695243,110,91.5,114.5,35
"230","III","StepData.ModeDailyMaximumSteps",68.4,43.4425729309066,11.2168240985202,93,35,100,15
"232","II","StepData.MinimumDailyMaximumSteps",42.4857142857143,35.2039197588359,5.95054851346029,48,0,67,35
