"","PureNYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"368","III","StepData.MaximumDailyModeSteps",0,0,0,0,0,0,11
"370","II","StepData.MeanDailyModeSteps",0,0,0,0,0,0,26
"371","III","StepData.MeanDailyModeSteps",0,0,0,0,0,0,11
"373","II","StepData.ModeDailyModeSteps",0,0,0,0,0,0,26
"374","III","StepData.ModeDailyModeSteps",0,0,0,0,0,0,11
"376","II","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,26
"377","III","StepData.MinimumDailyModeSteps",0,0,0,0,0,0,11
"379","II","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,26
"380","III","StepData.StdDevDailyModeSteps",0,0,0,0,0,0,11
"382","II","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,26
"383","III","StepData.StdErrDailyModeSteps",0,0,0,0,0,0,11
"385","II","StepData.MaximumDailyIQR",3.01923076923077,6.28725817702879,1.23303277429483,0,0,4,26
"386","III","StepData.MaximumDailyIQR",1.09090909090909,2.58667916273145,0.779913112346444,0,0,0,11
"388","II","StepData.MeanDailyIQR",0.49945054945055,1.00386132234935,0.196873402753861,0,0,0.389285714285714,26
"389","III","StepData.MeanDailyIQR",0.0779220779220779,0.184762797337961,0.0557080794533174,0,0,0,11
"391","II","StepData.ModeDailyIQR",0,0,0,0,0,0,26
"392","III","StepData.ModeDailyIQR",0,0,0,0,0,0,11
"394","II","StepData.MinimumDailyIQR",0,0,0,0,0,0,26
"395","III","StepData.MinimumDailyIQR",0,0,0,0,0,0,11
"397","II","StepData.StdDevDailyIQR",0.910356018454968,1.67078083238225,0.327667079509765,0,0,1.20491379528591,26
"398","III","StepData.StdDevDailyIQR",0.291557718449918,0.6913190854606,0.208440546989495,0,0,0,11
"400","II","StepData.StdErrDailyIQR",0.226600653741555,0.400986671109894,0.0786399561799985,0,0,0.313558357568487,26
"401","III","StepData.StdErrDailyIQR",0.077922077922078,0.184762797337961,0.0557080794533175,0,0,0,11
"403","II","StepData.MaximumDailySkewness",13.2238410907748,9.74828910880254,2.43707227720063,9.87809094417715,6.20778953335777,17.3693382302487,16
"404","III","StepData.MaximumDailySkewness",12.392480363287,8.42833426103624,2.80944475367875,10.3740096270431,6.25844759933175,12.5858318697137,9
"406","II","StepData.MeanDailySkewness",5.29573508804474,1.30121393489696,0.325303483724239,4.9733899428251,4.37259718060273,6.31084721468454,16
